ID,GLOSS,CONCEPTICON_ID,CONCEPTICON_GLOSS
1,"abalone",,
2,"ant (generic)",587,ANT
3,"anteater",,
4,"badger",,
5,"bald eagle",,
6,"band-tail pigeon",,
7,"bat",1793,BAT
8,"beaver",1194,BEAVER
9,"beetle",2242,BEETLE
10,"big round tule",,
11,"big skunk",,
12,"big wolf (gray wolf)",,
13,"bighorn sheep",,
15,"black ant",,
16,"black bear",,
17,"black-tail Jackrabbit",,
18,"blackberry",,
19,"blue grouse",,
20,"bobcat, lynx",,
21,"butterfly, moth",,
22,"California condor",,
23,"California jay",,
24,"California woodpecker",,
25,"chia",,
26,"chipmunk",,
27,"cliff swallow",,
28,"coot",,
29,"cottontail rabbit",,
30,"cottonwood",,
31,"coyote",912,COYOTE
32,"crow",913,CROW
33,"datura",,
34,"deer, mule",,
35,"digger pine",,
36,"dog (camp, domestic)",2009,DOG
37,"dogbane",,
38,"dove",1853,DOVE
39,"duck",1360,DUCK
40,"elder",,
41,"elk",1772,ELK
42,"fish (generic)",227,FISH
43,"flea",232,FLEA
44,"flicker",,
46,"foothills yucca",,
47,"fox",1312,FOX
49,"golden eagle",,
50,"gooseberry",,
51,"gopher snake, bull snake",,
53,"grasshopper",607,GRASSHOPPER
54,"gray ground squirrel",,
55,"gray tree squirrel",,
56,"great horned owl",,
57,"grizzly bear",,
58,"horned toad",,
59,"horse",615,HORSE
60,"hummingbird",1589,HUMMINGBIRD
62,"insect (generic)",620,INSECT
63,"junco",,
64,"juniper",,
66,"mallard",,
67,"manzanita",520,MANZANITA
68,"milkweed, broad leaf",,
69,"milkweed, narrow leaf",,
70,"mission tule",,
71,"mockingbird",,
73,"moth",,
74,"mountain lion",,
75,"mountain quail",,
76,"mussel",,
77,"olivella (olive snail)",,
78,"pinyon jay",,
79,"pinyon pine",,
80,"pismo clam",,
81,"pocket gopher",,
82,"poison oak",,
83,"rattlesnake",871,RATTLESNAKE
84,"red ant",,
85,"red-shouldered blackbird",,
86,"red-tailed hawk",,
87,"roadrunner",,
88,"ruddy duck",,
89,"sage herb",,
90,"salmon/steelhead",944,SALMON
91,"scaly lizard",,
92,"small bird",,
93,"small brown lizard",,
94,"snake (generic)",730,SNAKE
95,"soaproot",,
96,"sour berry",,
97,"sparrow hawk",,
99,"spotted skunk",,
100,"toad",894,TOAD
101,"tree",906,TREE
102,"tree yucca",,
103,"turkey buzzard",,
104,"turtle (generic)",112,TURTLE
105,"valley live oak",,
106,"valley oak",,
107,"valley quail",,
108,"Washington clam",,
109,"Western Canada goose",,
110,"whale",957,WHALE
111,"white pelican",,
112,"wild grapevine",,
113,"wild oats",,
114,"wild rose",,
115,"wild sunflower",,
116,"willow",818,WILLOW
117,"wood rat, round-tail",,
118,"worm, hairy caterpillar",,
119,"worm, smooth caterpillar",,
120,"yellow jacket",,
121,"yellowbird",,
122,"yerba santa",,
124,"achiote, anatto",,
126,"inga",,
127,"agouti (black agouti, black-rumped agouti)",313,AGOUTI
128,"alligator, black caiman",,
129,"Amazon dolphin",,
130,"mouse, rat",,
131,"anaconda",896,ANACONDA (WATER BOA)
132,"angleworm",,
133,"anteater",181,ANTEATER
134,"armadillo",1885,ARMADILLO
135,"arrow cane, wildcane",,
136,"avocado",,
137,"banana, plantain",,
138,"beans",,
139,"honeybee",,
140,"bitterwood",,
141,"black palm",,
142,"boa",,
143,"bottle-gourd (vine) or calabash (tree)",,
144,"brazil nut",,
145,"brown woolly monkey",,
146,"bullet ant, lesser giant hunter ant",,
147,"capybara",314,CAPYBARA
148,"cashew",2441,CASHEW
150,"centipede",1974,CENTIPEDE
151,"cicada",2352,CICADA
152,"cipó vine",,
153,"coca",137,COCA
154,"cockroach",1575,COCKROACH
155,"collared peccary",,
156,"cotamundi, coatimundi",,
157,"cotton",1850,COTTON
158,"crab",2348,CRAB
159,"cricket",2354,CRICKET
160,"curassow",,
161,"deer",1936,DEER
162,"dog (wild; bush dog)",2448,WILD DOG
163,"edible palm-dwelling larva (palm weevil)",,
164,"electric eel",2443,ELECTRIC EEL
165,"fish (large type)",,
166,"fish poison, barbasco",,
167,"genipap",,
168,"giant otter",,
169,"gray-winged trumpeter",,
170,"great egret",,
171,"green acouchi",,
172,"guan",437,GUAN
173,"hallucinogenic vine, banisterium, ayahuasca",,
174,"hawk",307,HAWK
175,"hot pepper",,
176,"howler monkey (red-handed)",433,HOWLER MONKEY
177,"iguana",1579,IGUANA
178,"jaguar",1250,JAGUAR
179,"japurá",,
180,"kapok",2499,KAPOK TREE
181,"açai palm",2437,ACAI PALM
182,"cará tuber, purple or white",,
183,"kingfisher",2444,KINGFISHER
184,"leaf-cutter ant",,
185,"firefly, lightning bug",206,FIREFLY
186,"macaw",1630,MACAW
187,"maize, corn",506,MAIZE
188,"manatee",,
189,"mandi catfish",,
190,"manioc (bitter or generic)",,
191,"manioc (sweet)",,
192,"miriti palm",,
194,"mushroom",641,MUSHROOM
195,"neotropical otter (small)",,
196,"opossum",,
197,"owl (large)",,
198,"paca (lowland)",316,PACA
199,"pacu fish",,
200,"palm for roof thatch",,
201,"parrot",882,PARROT
202,"paxiuba palm",,
203,"peach palm, pejibaye palm",,
204,"peanut",2364,PEANUT
205,"pineapple",2440,PINEAPPLE
206,"pirana",317,PIRANHA
207,"porcupine",2510,PORCUPINE
208,"potato",593,POTATO
209,"praying mantis, stick insects",,
210,"rubber tree (sorva)",,
211,"scorpion",1538,SCORPION
212,"seje palm",,
213,"sloth",2446,SLOTH
214,"small lizard",,
215,"snail",1543,SNAKE
